song,artist
Ready to Run,First Aid Kit
Wonderful World,James Morrison
Never Forget You,Noisettes
Sunny Baby,The Kooks
These Streets,Paolo Nutini
Everything You’ve Come to Expect,The Last Shadow Puppets
Mardy Bum,Arctic Monkeys
I Wish I Could Shimmy Like My Sister Kate,Muggsy Spanier's Ragtime Band
Brown Trout Blues,Johnny Flynn
Special Delivery Stomp,Earl Bostic
C'est La Vie,Anna Puu
Make You Feel My Love,Ane Brun
Song No. 6 (feat. Ron Sexsmith),Ane Brun
Faithless Ghost,Andrew Bird
Pulaski at Night,Andrew Bird
Glorious,Andreas Johnson
Mr Rock & Roll,Amy Macdonald
Never Know,The Kooks
Breathless,Nick Cave & the Bad Seeds
Woke up Clipped,Hot Swing Sextet
Whistle for the Choir,The Fratellis
That's Life,Frank Sinatra
Mardy Bum,Mahalia
I Can't Give You Anything But Love,Naomi & Her Handsome Devils
Jump Jive an' Wail,Louis Prima
Coming Up Easy,Paolo Nutini
Body Paint,Arctic Monkeys
So Young,The Ronettes
Got To Get You Off My Mind,Solomon Burke
Midnighter,The Champs
Poetry In Motion,Johnny Tillotson
Mama Said,The Shirelles
Payin' Them Dues Blues,Hot Swing Sextet
Hold On I'm Comin',Sam & Dave
The Beat Goes On (LP Version),Sonny & Cher
On Top of the World,Imagine Dragons
Plug In Baby,Muse
Angel,First Aid Kit
You Are the Best Thing,Ray LaMontagne
I Want More,Kaleo
Turning Onto You,First Aid Kit
Our Way,Mark Ambor
Red (Taylor's Version),Taylor Swift
Loved By You,Kirby
Strange Currencies (Remastered),R.E.M.
Year-Long Winter,Johnny Flynn & Robert Macfarlane
I Always Knew,The Vaccines
Closer,Travis
Green Eyes,Coldplay
Belong Together,Mark Ambor
Good To Be,Mark Ambor
Transatlantique,Beirut
Curls In the Wind,Mark Ambor
Bu Böyle Gidemez,Nilipek.
Be My Baby,Travis
I Don't Wanna Stop,Ray Boudreaux
When You're Gone,Jon and Roy
The Mates of Soul (Remastered),Taylor John Williams
Love Is All,The Tallest Man on Earth
Radio,Paolo Nutini
Harlem Swing,Hot Sugar Band
A String of Pearls,Glenn Miller & The Glenn Miller Orchestra
Mack the Knife,Louis Armstrong
Sent For You Yesterday,Count Basie & His Orchestra
Heebie Jeebies,Bobby Short
Pink Shoe Laces,The Chordettes
Pencil Full of Lead,Paolo Nutini
Around The Bend,The Asteroids Galaxy Tour
Stay,Maurice Williams & The Zodiacs
FREEDOM,Jon Batiste
Dancing In The Moonlight,L'Aupaire
10/10,Paolo Nutini
I Want To Hold Your Hand,Al Green
Just Jivin' Around,Hot Swing Sextet
Effortless,Sabina Ddumba
Let’s Do It (Let’s Fall In Love) [Live At The Coliseum],Ella Fitzgerald
Girls Talk,Tegan and Sara
Love Story (Taylor’s Version),Taylor Swift
Revelation Blues,The Tallest Man on Earth
I Love You. It’s a Fever Dream.,The Tallest Man on Earth
All to Myself,Dan + Shay
Dance the Night,Dua Lipa
Simple as This,Jake Bugg
My Baby Just Cares for Me,Nina Simone
What Do You Want From Me?,Monaco
Sit Next to Me,Foster the People
Quelqu'un m'a dit,Carla Bruni
Nothing in My Way,Keane
This Is the Last Time,Keane
Everybody's Changing,Keane
I Love Your Lovin' Ways,Nina Simone
Tell Me If You Wanna Go Home,Keira Knightley
Come Away,Sons of the East
Got My Mind Set On You (2004 Remaster),George Harrison
A Sunday Smile,Beirut
The Water,Johnny Flynn
Jive at Five,Reverent Juke
From Eden,Hozier
Like Real People Do,Hozier
Your Body Is a Wonderland,John Mayer
Overprotected,Britney Spears
Hold Me Tight,The Beatles
All My Loving,The Beatles
It Won't Be Long,The Beatles
You Really Got a Hold on Me,The Beatles
@defne.kalbim96,Büyük Ev Ablukada
The Gardener,The Tallest Man on Earth
River Mountain and Love,Johnny Flynn & Robert Macfarlane
Turn,Travis
Wicked Game,Widowspeak
Somewhere Only We Know,Lily Allen
I Think They Call This Love (Cover),Matthew Ifield
Bliss,Muse
Love Again,Dua Lipa
Hiding (Bonus Track),Florence + the Machine
Before You,Benson Boone
Fuck You,Lily Allen
A Pound Of Blues,Stockholm Swing All Stars
